"filename", "configuration", "rate", "time"
"aexpr-and-callback-count/interpretation.js", "arraySize=100 callbacksPerAExpr=0 numAExpr=100", 806.2903548322594, 0.001240248
"aexpr-and-callback-count/interpretation.js", "arraySize=1000 callbacksPerAExpr=0 numAExpr=100", 241.15369858633292, 0.004146733
"aexpr-and-callback-count/interpretation.js", "arraySize=100 callbacksPerAExpr=1 numAExpr=100", 784.037006546709, 0.00127545
"aexpr-and-callback-count/interpretation.js", "arraySize=1000 callbacksPerAExpr=1 numAExpr=100", 254.70672558203034, 0.003926084
"aexpr-and-callback-count/interpretation.js", "arraySize=100 callbacksPerAExpr=10 numAExpr=100", 619.5310893091237, 0.001614124
"aexpr-and-callback-count/interpretation.js", "arraySize=1000 callbacksPerAExpr=10 numAExpr=100", 239.50042128124105, 0.004175358
"aexpr-and-callback-count/interpretation.js", "arraySize=100 callbacksPerAExpr=0 numAExpr=150", 679.3478260869565, 0.001472
"aexpr-and-callback-count/interpretation.js", "arraySize=1000 callbacksPerAExpr=0 numAExpr=150", 228.89491594635345, 0.004368817
"aexpr-and-callback-count/interpretation.js", "arraySize=100 callbacksPerAExpr=1 numAExpr=150", 656.1115809599044, 0.001524131
"aexpr-and-callback-count/interpretation.js", "arraySize=1000 callbacksPerAExpr=1 numAExpr=150", 224.56750544127067, 0.004453004
"aexpr-and-callback-count/interpretation.js", "arraySize=100 callbacksPerAExpr=10 numAExpr=150", 560.5516276457336, 0.001783957
"aexpr-and-callback-count/interpretation.js", "arraySize=1000 callbacksPerAExpr=10 numAExpr=150", 208.85281119016656, 0.004788061
"aexpr-and-callback-count/interpretation.js", "arraySize=100 callbacksPerAExpr=0 numAExpr=200", 591.9187698033824, 0.001689421
"aexpr-and-callback-count/interpretation.js", "arraySize=1000 callbacksPerAExpr=0 numAExpr=200", 186.33539215308122, 0.005366667
"aexpr-and-callback-count/interpretation.js", "arraySize=100 callbacksPerAExpr=1 numAExpr=200", 487.7801321298822, 0.002050104
"aexpr-and-callback-count/interpretation.js", "arraySize=1000 callbacksPerAExpr=1 numAExpr=200", 193.71555737389892, 0.005162208
"aexpr-and-callback-count/interpretation.js", "arraySize=100 callbacksPerAExpr=10 numAExpr=200", 463.49877613148163, 0.002157503
"aexpr-and-callback-count/interpretation.js", "arraySize=1000 callbacksPerAExpr=10 numAExpr=200", 175.5440769234145, 0.005696575
"aexpr-and-callback-count/interpretation.js", "arraySize=100 callbacksPerAExpr=0 numAExpr=250", 580.6411904537944, 0.001722234
"aexpr-and-callback-count/interpretation.js", "arraySize=1000 callbacksPerAExpr=0 numAExpr=250", 182.3016457827978, 0.005485414
"aexpr-and-callback-count/interpretation.js", "arraySize=100 callbacksPerAExpr=1 numAExpr=250", 513.6858759499978, 0.001946715
"aexpr-and-callback-count/interpretation.js", "arraySize=1000 callbacksPerAExpr=1 numAExpr=250", 179.64858222237152, 0.005566423
"aexpr-and-callback-count/interpretation.js", "arraySize=100 callbacksPerAExpr=10 numAExpr=250", 427.3414787468126, 0.002340049
"aexpr-and-callback-count/interpretation.js", "arraySize=1000 callbacksPerAExpr=10 numAExpr=250", 153.747873474725, 0.006504155
"aexpr-and-callback-count/interpretation.js", "arraySize=100 callbacksPerAExpr=0 numAExpr=300", 468.9674836705522, 0.002132344
"aexpr-and-callback-count/interpretation.js", "arraySize=1000 callbacksPerAExpr=0 numAExpr=300", 157.82387392271397, 0.006336177
"aexpr-and-callback-count/interpretation.js", "arraySize=100 callbacksPerAExpr=1 numAExpr=300", 496.1720327672011, 0.00201543
"aexpr-and-callback-count/interpretation.js", "arraySize=1000 callbacksPerAExpr=1 numAExpr=300", 151.1946646426741, 0.00661399
"aexpr-and-callback-count/interpretation.js", "arraySize=100 callbacksPerAExpr=10 numAExpr=300", 371.15956557999806, 0.002694259
"aexpr-and-callback-count/interpretation.js", "arraySize=1000 callbacksPerAExpr=10 numAExpr=300", 127.51323810559703, 0.007842323
"aexpr-and-callback-count/proxies.js", "arraySize=100 callbacksPerAExpr=0 numAExpr=0", 1411.0143782365142, 0.00070871
"aexpr-and-callback-count/proxies.js", "arraySize=1000 callbacksPerAExpr=0 numAExpr=0", 815.4292256357902, 0.001226348
"aexpr-and-callback-count/proxies.js", "arraySize=100 callbacksPerAExpr=1 numAExpr=0", 1478.1834898729649, 0.000676506
"aexpr-and-callback-count/proxies.js", "arraySize=1000 callbacksPerAExpr=1 numAExpr=0", 832.9716847935189, 0.001200521
"aexpr-and-callback-count/proxies.js", "arraySize=100 callbacksPerAExpr=10 numAExpr=0", 1371.3922099436904, 0.000729186
"aexpr-and-callback-count/proxies.js", "arraySize=1000 callbacksPerAExpr=10 numAExpr=0", 855.5198138388886, 0.00116888
"aexpr-and-callback-count/proxies.js", "arraySize=100 callbacksPerAExpr=0 numAExpr=1", 1551.6144548402615, 0.00064449
"aexpr-and-callback-count/proxies.js", "arraySize=1000 callbacksPerAExpr=0 numAExpr=1", 812.1253564215158, 0.001231337
"aexpr-and-callback-count/proxies.js", "arraySize=100 callbacksPerAExpr=1 numAExpr=1", 1423.714528152531, 0.000702388
"aexpr-and-callback-count/proxies.js", "arraySize=1000 callbacksPerAExpr=1 numAExpr=1", 842.1307930177252, 0.001187464
"aexpr-and-callback-count/proxies.js", "arraySize=100 callbacksPerAExpr=10 numAExpr=1", 1375.7561499739295, 0.000726873
"aexpr-and-callback-count/proxies.js", "arraySize=1000 callbacksPerAExpr=10 numAExpr=1", 886.7795359660045, 0.001127676
"aexpr-and-callback-count/proxies.js", "arraySize=100 callbacksPerAExpr=0 numAExpr=10", 1458.176579351053, 0.000685788
"aexpr-and-callback-count/proxies.js", "arraySize=1000 callbacksPerAExpr=0 numAExpr=10", 837.8633813484907, 0.001193512
"aexpr-and-callback-count/proxies.js", "arraySize=100 callbacksPerAExpr=1 numAExpr=10", 1291.5341229772962, 0.000774273
"aexpr-and-callback-count/proxies.js", "arraySize=1000 callbacksPerAExpr=1 numAExpr=10", 879.6150101023783, 0.001136861
"aexpr-and-callback-count/proxies.js", "arraySize=100 callbacksPerAExpr=10 numAExpr=10", 1482.858892630636, 0.000674373
"aexpr-and-callback-count/proxies.js", "arraySize=1000 callbacksPerAExpr=10 numAExpr=10", 890.7781303279667, 0.001122614
"aexpr-and-callback-count/proxies.js", "arraySize=100 callbacksPerAExpr=0 numAExpr=20", 1490.161950800813, 0.000671068
"aexpr-and-callback-count/proxies.js", "arraySize=1000 callbacksPerAExpr=0 numAExpr=20", 822.4002079027725, 0.001215953
